YEAR	MON	DAY	T2M	D2M	WIND	SSRD	STRD	SP	TP
1994.0	1.0	1.0	272.176	267.782	6.761	95.193	251.494	976.986	2.448
1994.0	1.0	2.0	272.25	269.844	5.549	71.144	291.34	973.018	4.016
1994.0	1.0	3.0	265.365	262.874	3.996	78.913	245.728	979.526	0.608
1994.0	1.0	4.0	268.427	267.033	5.787	18.927	284.936	965.737	14.536
1994.0	1.0	5.0	265.819	262.602	7.271	76.233	237.528	968.57	3.597
1994.0	1.0	6.0	262.684	259.427	4.012	30.251	244.617	978.493	6.795
1994.0	1.0	7.0	266.547	264.861	4.509	19.493	287.616	971.797	8.742
1994.0	1.0	8.0	263.605	261.747	4.789	59.973	265.046	970.353	3.853
1994.0	1.0	9.0	262.07	258.926	7.373	78.693	240.979	982.038	2.618
1994.0	1.0	10.0	262.157	258.236	3.113	114.211	200.386	995.428	0.221
1994.0	1.0	11.0	269.891	265.41	6.807	28.189	277.939	986.298	1.796
1994.0	1.0	12.0	272.546	270.668	2.428	87.902	278.048	982.676	0.365
1994.0	1.0	13.0	272.782	271.269	4.624	46.251	277.035	970.312	1.807
1994.0	1.0	14.0	266.746	264.324	3.722	82.013	266.284	964.905	6.566
1994.0	1.0	15.0	256.129	252.621	4.698	86.633	198.024	969.595	3.345
1994.0	1.0	16.0	254.134	249.906	6.15	98.649	185.666	987.002	1.365
1994.0	1.0	17.0	264.017	260.369	6.64	37.987	267.969	976.754	10.731
1994.0	1.0	18.0	259.067	255.001	8.166	81.342	212.441	972.274	1.708
1994.0	1.0	19.0	251.621	247.3	7.598	120.769	162.851	986.528	1.23
1994.0	1.0	20.0	253.969	249.687	5.6	115.647	170.137	991.294	0.143
1994.0	1.0	21.0	258.975	255.747	5.807	105.01	200.877	991.985	0.04
1994.0	1.0	22.0	264.267	260.834	7.746	94.26	243.202	981.571	1.359
1994.0	1.0	23.0	266.574	264.124	3.806	42.027	253.883	979.559	1.178
1994.0	1.0	24.0	274.107	273.022	7.331	51.573	304.912	974.041	1.505
1994.0	1.0	25.0	270.604	268.694	3.719	70.74	276.822	983.366	0.636
1994.0	1.0	26.0	260.958	257.788	7.104	126.729	244.499	987.479	4.57
1994.0	1.0	27.0	263.206	260.187	5.262	25.736	240.362	988.32	4.483
1994.0	1.0	28.0	274.985	272.95	10.453	21.249	330.066	967.488	18.403
1994.0	1.0	29.0	270.044	267.88	7.094	60.904	282.573	969.504	2.317
1994.0	1.0	30.0	263.981	261.862	3.247	114.089	235.692	982.286	1.374
1994.0	1.0	31.0	258.397	255.587	1.582	126.022	183.192	983.458	0.02
1994.0	2.0	1.0	260.262	257.447	3.67	125.736	200.997	980.004	0.59
1994.0	2.0	2.0	259.041	255.593	4.433	142.687	165.551	980.814	0.005
1994.0	2.0	3.0	265.398	260.975	8.061	127.982	210.091	972.11	2.894
1994.0	2.0	4.0	264.538	259.898	6.632	77.604	212.51	978.633	2.181
1994.0	2.0	5.0	266.5	262.222	5.253	129.396	199.935	973.003	0.04
1994.0	2.0	6.0	266.55	262.646	4.158	146.333	193.767	972.403	0.001
1994.0	2.0	7.0	265.072	260.289	3.491	147.742	217.475	978.439	0.078
1994.0	2.0	8.0	259.888	256.364	4.297	73.76	234.563	982.952	6.465
1994.0	2.0	9.0	259.428	256.898	5.137	35.129	253.744	970.057	7.249
1994.0	2.0	10.0	256.812	252.949	2.684	154.084	178.263	987.246	0.141
1994.0	2.0	11.0	261.787	257.539	2.774	92.533	222.05	985.55	0.0
1994.0	2.0	12.0	265.138	262.527	2.642	138.149	224.656	983.712	0.011
1994.0	2.0	13.0	271.243	268.986	6.36	84.178	293.653	973.671	3.584
1994.0	2.0	14.0	264.314	260.249	5.765	163.731	217.231	980.828	0.927
1994.0	2.0	15.0	270.097	265.481	5.934	148.147	223.048	976.258	0.216
1994.0	2.0	16.0	269.618	266.482	4.909	158.809	229.856	984.76	0.669
1994.0	2.0	17.0	270.629	266.045	4.263	159.338	219.742	986.938	0.0
1994.0	2.0	18.0	275.305	270.368	3.329	161.064	235.399	986.385	0.0
1994.0	2.0	19.0	278.911	272.397	5.867	148.06	258.721	984.941	0.0
1994.0	2.0	20.0	280.88	275.126	7.263	83.349	291.377	979.818	1.559
1994.0	2.0	21.0	276.175	275.164	2.812	74.947	317.665	980.195	1.092
1994.0	2.0	22.0	268.953	266.931	3.67	161.973	237.847	986.616	0.118
1994.0	2.0	23.0	268.602	265.949	5.963	29.44	278.306	979.34	12.126
1994.0	2.0	24.0	272.413	270.347	7.311	86.229	299.418	962.027	8.09
1994.0	2.0	25.0	263.719	260.246	6.316	158.056	222.558	973.159	1.966
1994.0	2.0	26.0	263.363	260.112	5.281	156.889	248.452	973.898	12.855
1994.0	2.0	27.0	258.998	254.708	4.39	182.058	173.984	987.206	0.105
1994.0	2.0	28.0	259.681	255.756	2.452	160.54	180.441	989.284	0.0
1994.0	3.0	1.0	264.901	260.112	1.346	178.659	214.521	986.995	0.001
1994.0	3.0	2.0	267.066	263.643	3.666	158.98	205.751	981.442	0.396
1994.0	3.0	3.0	270.448	268.281	4.653	182.173	273.972	968.417	4.456
1994.0	3.0	4.0	270.223	268.591	3.305	46.91	242.336	960.987	1.814
1994.0	3.0	5.0	272.819	271.035	4.701	110.203	279.39	967.04	0.874
1994.0	3.0	6.0	270.671	268.552	3.915	57.45	257.396	977.369	1.082
1994.0	3.0	7.0	276.111	273.528	3.834	43.309	301.739	975.893	8.516
1994.0	3.0	8.0	272.902	270.417	5.816	181.282	252.349	975.813	0.413
1994.0	3.0	9.0	267.324	264.189	2.935	65.274	237.497	983.728	7.1
1994.0	3.0	10.0	270.365	268.99	3.867	118.379	293.469	970.609	18.674
1994.0	3.0	11.0	268.401	265.514	3.067	195.289	219.8	982.393	0.133
1994.0	3.0	12.0	268.521	265.699	2.811	179.29	212.962	991.156	0.0
1994.0	3.0	13.0	274.9	270.695	5.126	59.163	282.873	980.416	5.873
1994.0	3.0	14.0	272.202	270.572	1.957	177.319	267.914	974.003	0.263
1994.0	3.0	15.0	275.735	273.188	5.194	148.267	304.71	961.639	5.156
1994.0	3.0	16.0	268.522	266.03	6.098	129.456	262.38	964.102	3.689
1994.0	3.0	17.0	262.777	259.752	5.97	192.934	213.061	971.603	0.538
1994.0	3.0	18.0	266.52	264.503	3.235	36.926	253.598	962.312	7.866
1994.0	3.0	19.0	268.334	266.159	5.639	206.261	247.157	964.738	1.462
1994.0	3.0	20.0	270.213	266.613	4.155	207.564	212.463	971.642	0.0
1994.0	3.0	21.0	273.657	269.845	4.814	42.56	269.934	968.659	12.643
1994.0	3.0	22.0	275.344	272.62	6.013	209.453	276.286	967.414	2.305
1994.0	3.0	23.0	278.769	272.949	5.392	207.764	258.448	969.662	0.107
1994.0	3.0	24.0	280.785	276.893	4.77	107.461	310.164	967.488	4.654
1994.0	3.0	25.0	273.442	269.551	5.756	121.148	259.135	972.776	0.113
1994.0	3.0	26.0	270.727	266.647	2.566	206.499	234.056	979.641	0.013
1994.0	3.0	27.0	275.814	272.875	4.44	51.431	307.538	968.495	9.39
1994.0	3.0	28.0	274.504	273.109	3.101	120.991	308.697	968.604	2.387
1994.0	3.0	29.0	273.813	272.034	2.4	104.347	278.702	973.992	2.035
1994.0	3.0	30.0	272.611	270.043	4.755	200.768	240.974	982.482	0.559
1994.0	3.0	31.0	273.409	268.644	4.212	238.022	216.768	983.222	0.001
1994.0	4.0	1.0	275.168	269.646	5.01	217.136	235.012	976.79	0.004
1994.0	4.0	2.0	278.455	272.054	4.393	216.487	261.192	976.441	0.121
1994.0	4.0	3.0	278.569	274.498	5.32	45.95	306.795	971.116	11.279
1994.0	4.0	4.0	272.278	268.983	3.522	242.548	218.609	977.036	0.0
1994.0	4.0	5.0	277.981	272.421	3.955	148.33	265.92	971.167	2.253
1994.0	4.0	6.0	275.48	274.725	3.897	23.913	324.104	970.387	19.797
1994.0	4.0	7.0	272.164	269.71	5.459	232.466	278.29	974.036	15.683
1994.0	4.0	8.0	273.459	267.556	2.532	250.053	209.98	988.379	0.0
1994.0	4.0	9.0	280.267	271.346	6.419	131.801	283.815	980.572	0.062
1994.0	4.0	10.0	281.701	278.657	4.801	148.032	331.612	974.793	11.399
1994.0	4.0	11.0	277.345	271.325	3.294	208.788	240.061	987.674	0.0
1994.0	4.0	12.0	278.668	275.122	3.5	51.174	319.807	984.626	14.73
1994.0	4.0	13.0	283.314	281.785	6.227	127.946	343.741	968.365	15.285
1994.0	4.0	14.0	280.141	276.933	6.082	212.084	298.16	967.759	0.5
1994.0	4.0	15.0	285.218	279.386	3.997	249.156	302.86	971.503	0.023
1994.0	4.0	16.0	282.932	278.928	9.463	231.204	310.558	964.86	12.311
1994.0	4.0	17.0	277.966	272.442	6.913	250.794	262.32	970.633	1.179
1994.0	4.0	18.0	279.397	271.4	4.82	260.469	241.154	977.245	0.0
1994.0	4.0	19.0	285.34	276.998	6.303	226.108	302.249	971.044	2.811
1994.0	4.0	20.0	278.747	271.562	4.689	276.691	244.546	977.926	0.123
1994.0	4.0	21.0	277.286	269.273	3.748	281.178	234.384	980.848	0.0
1994.0	4.0	22.0	276.552	268.668	3.456	287.794	224.409	981.552	0.0
1994.0	4.0	23.0	278.299	269.963	4.034	284.856	234.005	981.126	0.0
1994.0	4.0	24.0	283.65	273.062	7.122	257.96	281.384	971.67	0.024
1994.0	4.0	25.0	287.397	281.003	5.699	166.652	339.522	969.639	3.542
1994.0	4.0	26.0	288.57	283.646	4.067	240.998	335.279	970.659	1.863
1994.0	4.0	27.0	288.842	286.567	6.633	136.18	355.21	971.292	5.749
1994.0	4.0	28.0	279.742	275.315	4.02	139.997	290.017	983.402	0.024
1994.0	4.0	29.0	282.644	280.328	4.757	93.929	353.277	981.625	10.45
1994.0	4.0	30.0	280.592	276.261	3.768	144.356	287.73	981.823	4.283
1994.0	5.0	1.0	279.957	278.723	5.948	124.603	346.15	970.569	14.755
1994.0	5.0	2.0	278.129	274.688	4.931	282.622	255.797	981.151	0.241
1994.0	5.0	3.0	279.748	273.793	2.357	298.009	243.319	985.919	0.0
1994.0	5.0	4.0	281.65	276.195	2.901	185.466	289.241	983.127	0.035
1994.0	5.0	5.0	282.142	278.492	1.271	98.471	331.08	977.281	0.033
1994.0	5.0	6.0	280.325	277.524	5.547	138.75	304.652	972.556	2.714
1994.0	5.0	7.0	280.444	277.048	2.546	199.954	305.502	975.934	2.775
1994.0	5.0	8.0	281.252	279.619	4.672	146.709	338.385	967.42	14.853
1994.0	5.0	9.0	283.037	277.36	6.46	137.673	294.117	969.458	1.811
1994.0	5.0	10.0	281.455	278.179	4.024	271.937	279.076	974.812	2.13
1994.0	5.0	11.0	283.477	275.621	5.703	215.882	280.011	976.589	0.159
1994.0	5.0	12.0	282.815	279.258	7.051	125.841	346.197	968.45	8.41
1994.0	5.0	13.0	279.912	271.888	4.33	324.071	242.699	977.423	0.0
1994.0	5.0	14.0	282.703	275.746	1.676	317.39	260.125	979.004	0.0
1994.0	5.0	15.0	286.188	282.759	4.243	100.379	340.938	970.123	16.685
1994.0	5.0	16.0	283.498	282.335	6.094	90.51	352.758	967.606	5.683
1994.0	5.0	17.0	278.326	277.332	5.502	70.389	336.217	974.956	5.656
1994.0	5.0	18.0	280.07	277.236	4.203	155.273	321.638	979.058	0.671
1994.0	5.0	19.0	282.078	279.231	3.225	144.773	327.191	979.69	0.446
1994.0	5.0	20.0	284.026	280.062	1.517	301.25	280.018	979.838	0.0
1994.0	5.0	21.0	286.419	281.461	1.766	210.293	309.641	979.496	0.0
1994.0	5.0	22.0	289.44	282.666	2.521	317.838	312.665	978.981	0.0
1994.0	5.0	23.0	290.473	284.759	2.959	320.219	320.81	973.9	0.0
1994.0	5.0	24.0	287.691	283.766	1.77	136.491	322.93	973.371	2.763
1994.0	5.0	25.0	288.252	286.606	3.545	198.722	360.264	965.646	7.144
1994.0	5.0	26.0	287.024	285.362	3.69	197.592	346.332	961.486	26.589
1994.0	5.0	27.0	279.842	274.996	5.494	305.396	287.371	972.166	1.776
1994.0	5.0	28.0	283.854	276.765	5.493	335.373	268.593	977.189	0.002
1994.0	5.0	29.0	287.393	279.809	5.383	289.352	299.916	978.219	0.129
1994.0	5.0	30.0	290.81	283.483	4.691	299.29	319.136	978.95	0.016
1994.0	5.0	31.0	293.226	287.326	5.834	307.637	349.811	976.402	0.93
